"464/0001","PREVIEWS ONLY JANUARY 2014",,"2.00",,,,"DIAMOND PUBLICATIONS"
"464/0002","MARVEL PREVIEWS ONLY JANUARY 2014 ",,"0.75",,,,"DIAMOND PUBLICATIONS"
"464/0003","PREVIEWS AND MARVEL PREVIEWS JANUARY 2014",,"2.00",,,,"DIAMOND PUBLICATIONS"
"464/0004","PREVIEWS  JAN 2014 CUSTOMER ORDER FORM ",,"0.00",,,,"DIAMOND PUBLICATIONS"
"464/0008","PREVIEWS TOYCHEST 2014",,"0.30",,,,"DIAMOND PUBLICATIONS"
"464/0010","FCBD 2014 HEROCLIX BATMAN ARKHAM ORIGINS ",,"3.99",,,1,"DIAMOND PUBLICATIONS"
"464/0011","HELLBOY FIRST 20 YEARS HC  ","our price","10.87","reduced from","£14.99",,"DARK HORSE"
"464/0012","BPRD HELL ON EAH #115",,"2.35",,,,"DARK HORSE"
"464/0013","BPRD HELL ON EAH #115 MIGNOLA 1-20 VAR",,"9.99",,,,"DARK HORSE"
"464/0014","ABE SAPIEN #9",,"2.35",,,,"DARK HORSE"
"464/0015","ABE SAPIEN #9 MIGNOLA 1-20 VAR",,"9.99",,,,"DARK HORSE"
"464/0016","SLEDGEHAMMER 44 LIGHTNING WAR #3 (OF 3)",,"2.35",,,,"DARK HORSE"
"464/0017","BALTIMORE CHAPEL OF BONES #1 (OF 2)",,"2.35",,,,"DARK HORSE"
"464/0018","BAD BLOOD #1 (OF 5)",,"2.65",,,,"DARK HORSE"
"464/0019","GRINDHOUSE DOORS OPEN AT MIDNIGHT #4 (OF 8)",,"2.65",,,,"DARK HORSE"
"464/0020","KISS ME SATAN #5 (OF 5)",,"2.65",,,,"DARK HORSE"
"464/0021","CLOWN FATALE #3 (OF 4)",,"2.65",,,,"DARK HORSE"
"464/0022","STRAIN THE FALL #7",,"2.65",,,,"DARK HORSE"
"464/0023","BTVS SEASON 9 TP VOL 05 THE CORE  ","our price","9.79","reduced from","£13.50",,"DARK HORSE"
"464/0024","CREEPY COMICS TP VOL 03 LURKING FATE  ","our price","10.87","reduced from","£14.99",,"DARK HORSE"
"464/0025","LIGHT BRIGADE HC  ","our price","10.87","reduced from","£14.99",,"DARK HORSE"
"464/0026","STAR WARS #0 (OF 8) LUCAS DRAFT ",,"3.33",,,,"DARK HORSE"
"464/0027","STAR WARS #13 2013 ONGOING ",,"1.99",,,,"DARK HORSE"
"464/0028","STAR WARS LEGACY II #11 ",,"1.99",,,,"DARK HORSE"
"464/0029","STAR WARS D.VADER & CRY OF SHADOWS #2 (OF 5) ",,"2.65",,,,"DARK HORSE"
"464/0030","STAR WARS DAWN O/T JEDI FORCE WAR #3 (OF 5) ",,"2.65",,,,"DARK HORSE"
"464/0031","SERENITY LEAVES ON THE WIND #1 (OF 6)",,"2.35",,,,"DARK HORSE"
"464/0032","SERENITY LEAVES ON THE WIND #1 (OF 6) VAR",,"2.35",,,,"DARK HORSE"
"464/0033","TERMINATOR SALVATION FINAL BATTLE #2 (OF 12)",,"2.65",,,,"DARK HORSE"
"464/0034","HALO ESCALATION #2",,"2.65",,,,"DARK HORSE"
"464/0035","MASS EFFECT FOUNDATION #7",,"2.65",,,,"DARK HORSE"
"464/0036","EVE SOURCE HC  ","our price","21.74","reduced from","£29.99",,"DARK HORSE"
"464/0037","CONAN PEOPLE O/T BLACK CIRCLE #4 (OF 4)",,"2.35",,,,"DARK HORSE"
"464/0038","1 FOR $1 CONAN THE BARBARIAN #1",,"0.75",,,,"DARK HORSE"
"464/0039","CONAN THE BARBARIAN #24",,"2.35",,,,"DARK HORSE"
"464/0040","ELFQUEST FINAL QUEST #1",,"2.35",,,,"DARK HORSE"
"464/0041","1 FOR $1 CAPTAIN MIDNIGHT #1",,"0.75",,,,"DARK HORSE"
"464/0042","CAPTAIN MIDNIGHT #7",,"1.99",,,,"DARK HORSE"
"464/0043","CATALYST COMIX #7 ",,"1.99",,,,"DARK HORSE"
"464/0044","BLOODHOUND CROWBAR MEDICINE #4 (OF 5)",,"2.65",,,,"DARK HORSE"
"464/0045","SKYMAN #1 (OF 4)",,"1.99",,,,"DARK HORSE"
"464/0046","SKYMAN #1 (OF 4) VARIANT 1-10 COVER",,"3.99",,,,"DARK HORSE"
"464/0047","GHOST #3",,"1.99",,,,"DARK HORSE"
"464/0048","OCCULTIST #4 (OF 5)",,"2.35",,,,"DARK HORSE"
"464/0049","1 FOR $1 X #1",,"0.75",,,,"DARK HORSE"
"464/0050","X #9 ",,"1.99",,,,"DARK HORSE"
"464/0051","DARK HORSE PRESENTS #32 ",,"4.99",,,,"DARK HORSE"
"464/0052","SHAOLIN COWBOY #4",,"2.65",,,,"DARK HORSE"
"464/0053","SHOOT FIRST #4 (OF 4)",,"2.65",,,,"DARK HORSE"
"464/0054","MICHAEL AVON OEMINGS VICTORIES #8 ",,"2.65",,,,"DARK HORSE"
"464/0055","MIND MGMT #18",,"2.65",,,,"DARK HORSE"
"464/0056","MASSIVE #19",,"2.35",,,,"DARK HORSE"
"464/0057","FURIOUS #1 (OF 5)",,"2.65",,,,"DARK HORSE"
"464/0058","NEVER ENDING #3 (OF 3) ",,"2.65",,,,"DARK HORSE"
"464/0059","BLOOD BROTHERS TP  ","our price","7.24","reduced from","£9.99",,"DARK HORSE"
"464/0060","ADV.NILSON GROUNDTHUMPER & HERMY HC  ","our price","7.97","reduced from","£10.99",,"DARK HORSE"
"464/0061","FEAR AGENT LIBRARY ED HC VOL 02 (RES)  ","our price","27.54","reduced from","£37.99",,"DARK HORSE"
"464/0062","DREAM THIEF TP VOL 01  ","our price","9.79","reduced from","£13.50",,"DARK HORSE"
"464/0063","JUICE SQUEEZERS #1 (OF 4)",,"2.65",,,,"DARK HORSE"
"464/0064","AVATAR LAST AIRBENDER TP VOL 07 RIFT PA 1  ","our price","6.16","reduced from","£8.50",,"DARK HORSE"
"464/0065","PICTURES THAT TICK TP VOL 02  ","our price","16.31","reduced from","£22.50",,"DARK HORSE"
"464/0066","PICTURES THAT TICK LIMITED ED HC VOL 02  ","our price","54.38","reduced from","£75.00",,"DARK HORSE"
"464/0067","GASOLINE ALLEY HC VOL 01 SUNDAYS 1920-1922  ","our price","40.59","reduced from","£55.99",,"DARK HORSE"
"464/0068","CAPTAIN MIDNIGHT ARCHIVES HC VOL 02","our price","27.54","reduced from","£37.99",,"DARK HORSE"
"464/0069","ARCHIE ARCHIVES HC VOL 09  ","our price","32.63","reduced from","£45.00",,"DARK HORSE"
"464/0070","DRIFTERS TP VOL 03   ","our price","7.24","reduced from","£9.99",,"DARK HORSE"
"464/0071","EDEN VOL.14 ITS AN ENDLESS WORLD","our price","7.24","reduced from","£9.99",,"DARK HORSE"
"464/0072","GAME OF THRONS TYRION FIGURE  ",,"16.99",,,1,"DARK HORSE"
"464/0073","GAME OF THRONS KHAL DROGO FIGURE  ",,"16.99",,,1,"DARK HORSE"
"464/0074","GAME OF THRONS NED STARK FIGURE  ",,"16.99",,,1,"DARK HORSE"
"464/0075","ITTY BITTY HELLBOY PLUSH  ",,"13.25",,,1,"DARK HORSE"
"464/0076","ITTY BITTY ABE SAPIEN PLUSH  ",,"13.25",,,1,"DARK HORSE"
"464/0077","GRIMMS JOURNAL  ",,"10.22",,,1,"DARK HORSE"
"464/0078","SERENITY HC VOL 01 THOSE LEFT BEHIND 2ND ED  ",,"10.99",,,,"DARK HORSE"
"464/0079","SERENITY THOSE LEFT BEHIND TP   ",,"6.25",,,,"DARK HORSE"
"464/0080","SERENITY BETTER DAYS TP   ",,"6.25",,,,"DARK HORSE"
"464/0081","SERENITY HC VOL 02 BETTER DAYS & OTHER STORIES  ",,"12.50",,,,"DARK HORSE"
"464/0082","SERENITY SHEPHERDS TALE HC  ",,"8.99",,,,"DARK HORSE"
"464/0083","ANGEL OMNIBUS (DH ED) TP VOL 01  ",,"15.25",,,,"DARK HORSE"
"464/0084","BTVS SEASON 8 TP VOL 01 LONG WAY HOME   ",,"9.99",,,,"DARK HORSE"
"464/0085","BTVS SEASON 8 TP VOL 02 NO FUTURE FOR YOU   ",,"9.99",,,,"DARK HORSE"
"464/0086","BTVS SEASON 8 TP VOL 03 WOLVES AT THE GATE   ",,"9.99",,,,"DARK HORSE"
"464/0087","BTVS SEASON 8 TP VOL 04 TIME OF YOUR LIFE   ",,"9.99",,,,"DARK HORSE"
