"466/0001","PREVIEWS ONLY MARCH 2014 ",,2.00,,,,,"PREVIEWS PUBLICATIONS"
"466/0002","MARVEL PREVIEWS ONLY 2014",,0.75,,,,,"PREVIEWS PUBLICATIONS"
"466/0003","PREVIEWS MARVEL PREVIEWS  MARCH 2014",,2.00,,,,,"PREVIEWS PUBLICATIONS"
"466/0004","PREVIEWS MAR 2014 CUST ORDER FORM  ",,0.00,,,,,"PREVIEWS PUBLICATIONS"
"466/0005","FCBD 2014 DC THE NEW 52 FUTURES SPEC ED ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0006","FCBD 2014 WALT SCROOGE DONALD DUCK GRAVITY ",,0.27,,,,,"FREE COMIC BOOK DAY"
"466/0007","FCBD 2014 TRANSFORMERS VS GI JOE ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0008","FCBD 2014 RISE OF THE MAGI ",,0.24,,,,,"FREE COMIC BOOK DAY"
"466/0009","FCBD 2014 GUARDIANS OF GALAXY  ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0010","FCBD 2014 MIGHTY MORPHIN POWER RANGERS ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0011","FCBD 2014 SPONGEBOBSTYLE FUNNIES ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0012","FCBD 2014 HELLO KITTY SURPRISE ",,0.35,,,,,"FREE COMIC BOOK DAY"
"466/0013","FCBD 2014 SKYWARD & MIDNIGHT TIGER ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0014","FCBD 2014 ZOMBIE TRAMP & EHMM THEORY   ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0015","FCBD 2014 FUBAR ACE OF SPADES ",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0016","FCBD 2014 STEAM WARS ",,0.50,,,,,"FREE COMIC BOOK DAY"
"466/0017","FCBD 2014 INTRINSIC VOL 2 ",,0.15,,,,,"FREE COMIC BOOK DAY"
"466/0018","FCBD 2014 WORLDS OF ASPEN ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0019","FCBD 2014 SONIC HEDGEHOG MEGA MAN FLIPBOOK #1 ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0020","FCBD 2014 HATTER M FAR FROM WONDER ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0021","FCBD 2014 IPSO FACTO ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0022","FCBD 2014 BLEEDING COOL MAGAZINE ",,0.45,,,,,"FREE COMIC BOOK DAY"
"466/0023","FCBD 2014 UBER THE FIRST CYCLE   ",,0.45,,,,,"FREE COMIC BOOK DAY"
"466/0024","FCBD 2014 MOUSE GUARD LABYRINTH RUST HC ",,0.55,,,,,"FREE COMIC BOOK DAY"
"466/0025","FCBD 2014 ADV OF JELLABY ",,0.40,,,,,"FREE COMIC BOOK DAY"
"466/0026","FCBD 2014 DEFEND COMICS ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0027","FCBD 2014 CBLDF PRESENTS RAISING A READER ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0028","FCBD 2014 EPIC #0 ",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0029","FCBD 2014 SCAM CROSSWORDS #0 ",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0030","FCBD 2014 DH PROJECT BLACK SKY   ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0031","FCBD 2014 TEEN TITANS GO #1 SPEC ED ",,0.24,,,,,"FREE COMIC BOOK DAY"
"466/0032","FCBD 2014 SHOWA HISTORY OF JAPAN ",,0.40,,,,,"FREE COMIC BOOK DAY"
"466/0033","FCBD 2014 MAGIC WIND ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0034","FCBD 2014 ENTROPY ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0035","FCBD 2014 HIP HOP FAMILY TREE TWO-IN-ONE ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0036","FCBD 2014 OVERSTREET COMIC BOOK MARKETPLACE ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0037","FCBD 2014 GRAPHIX SPOTLIGHT DUMBEST IDEA EVER ",,0.40,,,,,"FREE COMIC BOOK DAY"
"466/0038","FCBD 2014 BUCK ROGERS ",,0.45,,,,,"FREE COMIC BOOK DAY"
"466/0039","FCBD 2014 SCRATCH 9 ",,0.45,,,,,"FREE COMIC BOOK DAY"
"466/0040","FCBD 2014 V-WARS ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0041","FCBD 2014 ALL ROCKET RACCOON  ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0042","FCBD 2014 THE TICK ",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0043","FCBD 2014 COURTNEY CRUMRIN #1 ",,0.33,,,,,"FREE COMIC BOOK DAY"
"466/0044","FCBD 2014 THE SMURFS ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0045","FCBD 2014 PREVIEWSWORLD SPECTACULAR ",,0.18,,,,,"FREE COMIC BOOK DAY"
"466/0046","FCBD 2014 2000 AD SPECIAL  ",,0.48,,,,,"FREE COMIC BOOK DAY"
"466/0047","FCBD 2014 ATOMIC ROBO & FRIENDS ",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0048","FCBD 2014 GIANT-SIZE 4-COMIC BUNDLE ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0049","FCBD 2014 FINDING GOSSAMYR BLADESLINGER ",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0050","FCBD 2014 TOP SHELF KIDS CLUB ",,0.45,,,,,"FREE COMIC BOOK DAY"
"466/0051","FCBD 2014 SHERWOOD TX BOONDOCK SAINTS DOUBLE",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0052","FCBD 2014 STREET FIGHTER #0 ",,0.42,,,,,"FREE COMIC BOOK DAY"
"466/0053","FCBD 2014 LES MISERABLES FALL OF FANTINE ",,0.35,,,,,"FREE COMIC BOOK DAY"
"466/0054","FCBD 2014 ARMOR HUNTERS SPECIAL ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0055","FCBD 2014 VALIANT UNIVERSE HANDBOOK ",,0.30,,,,,"FREE COMIC BOOK DAY"
"466/0056","FCBD 2014 ALL YOU NEED IS KILL TERRA FORMARS ",,0.35,,,,,"FREE COMIC BOOK DAY"
"466/0057","FCBD 2014 GRIMM FAIRY TALES #0 ",,0.36,,,,,"FREE COMIC BOOK DAY"
"466/0058","FCBD 2014 YELLOW WRIST BAND   ",,1.00,,,1,,"FREE COMIC BOOK DAY"
"466/0059","FCBD 2014 COMM ARTIST SKOTTIE YOUNG POSTER  ",,5.20,,,1,,"FREE COMIC BOOK DAY"
"466/0060","FCBD 2014 COMM ARTIST SKOTTIE YOUNG YOUTH SM  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0061","FCBD 2014 COMM ARTIST SKOTTIE YOUNG YOUTH MED  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0062","FCBD 2014 COMM ARTIST SKOTTIE YOUNG YOUTH LG  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0063","FCBD 2014 COMM ARTIST SKOTTIE YOUNG BLK T/S SM  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0064","FCBD 2014 COMM ARTIST SKOTTIE YOUNG BLK MED  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0065","FCBD 2014 COMM ARTIST SKOTTIE YOUNG BLK T/S LG  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0066","FCBD 2014 COMM ARTIST SKOTTIE YOUNG BLK T/S XL  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0067","FCBD 2014 COMM ARTIST SKOTTIE YOUNG BLK T/S XXL  ",,12.75,,,1,,"FREE COMIC BOOK DAY"
"466/0068","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S SM  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0069","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S M ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0070","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S LG  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0071","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S SM  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0072","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S M",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0073","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S LG  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0074","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S XL  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0075","FCBD 2014 COMM ART SKOTTIE YOUNG WHITE T/S XXL  ",,12.75,,,1,,"FREE COMIC BOOK DAY"
"466/0076","FCBD 2014 COMM ART SKOTTIE YOUNG RED T/S SM  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0077","FCBD 2014 COMM ART SKOTTIE YOUNG RED T/S MED  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0078","FCBD 2014 COMM ART SKOTTIE YOUNG RED T/S LG  ",,8.20,,,1,,"FREE COMIC BOOK DAY"
"466/0079","FCBD 2014 COMM ART SKOTTIE YOUNG RED T/S SM  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
"466/0080","FCBD 2014 COMM ART SKOTTIE YOUNG RED T/S MED  ",,10.30,,,1,,"FREE COMIC BOOK DAY"
