"482/0001","PREVIEWS ONLY #322 JULY 2015 ",,"2.00",,,"DIAMOND PUBLICATIONS"
"482/0002","MARVEL PREVIEWS ONLY JULY 2015 #322",,"0.75",,,"DIAMOND PUBLICATIONS"
"482/0003","PREVIEWS AND MARVEL PREVIEWS #322 JULY 2015",,"2.00",,,"DIAMOND PUBLICATIONS"
"482/0004","PREVIEWS #322 JULY 2015 CUSTOMER ORDER FORM  ",,"0.00",,,"DIAMOND PUBLICATIONS"
"482/0008","PREVIEWS BACKLIST CATALOG 2015 ",,"0.75",,,"DIAMOND PUBLICATIONS"
"482/0010","BARB WIRE #1",,"2.65",,,"DARK HORSE"
"482/0011","BARB WIRE #1 HUGHES VAR CVR",,"2.65",,,"DARK HORSE"
"482/0012","NEGATIVE SPACE #1 (OF 4)",,"2.65",,,"DARK HORSE"
"482/0013","TOMORROWS #1 (OF 6)",,"2.65",,,"DARK HORSE"
"482/0014","2 SISTERS SUPER SPY HC  ","our price","15.22","reduced from","20.99","DARK HORSE"
"482/0015","MIND MGMT #35",,"2.65",,,"DARK HORSE"
"482/0016","PASTAWAYS #5",,"2.65",,,"DARK HORSE"
"482/0017","NEW DEAL HC  ","our price","9.42","reduced from","12.99","DARK HORSE"
"482/0018","GREEN RIVER KILLER TRUE DETECTIVE STORY HC  ",,"15.25",,,"DARK HORSE"
"482/0019","FIGHT CLUB 2 #3 MAIN CVR",,"2.65",,,"DARK HORSE"
"482/0020","FIGHT CLUB 2 #3 STEWART VAR CVR",,"2.65",,,"DARK HORSE"
"482/0021","BLACK HAMMER #2",,"1.99",,,"DARK HORSE"
"482/0022","BLACK HAMMER #2 LEMIRE VAR CVR",,"1.99",,,"DARK HORSE"
"482/0023","REBELS #4",,"2.65",,,"DARK HORSE"
"482/0024","SHAPER #5 (OF 5)",,"2.65",,,"DARK HORSE"
"482/0025","NEVERBOY #5 (OF 6)",,"2.65",,,"DARK HORSE"
"482/0026","MULAN REVELATIONS #2 (OF 4)",,"2.65",,,"DARK HORSE"
"482/0027","RESIDENT ALIEN SAM HAIN MYSTERY #3 (OF 3)",,"2.65",,,"DARK HORSE"
"482/0028","GUN THEORY HC  ","our price","13.77","reduced from","18.99","DARK HORSE"
"482/0029","RESURRECTIONISTS VOL 01 NEAR DEATH EXPERIENCED  ","our price","10.87","reduced from","14.99","DARK HORSE"
"482/0030","DARK HORSE PRESENTS 2014 #12",,"3.33",,,"DARK HORSE"
"482/0031","HEART IN A BOX TP  ","our price","7.97","reduced from","10.99","DARK HORSE"
"482/0032","X TP VOL 06 MARKED FOR DEATH ENTER THE MARK   ","our price","7.97","reduced from","10.99","DARK HORSE"
"482/0033","ARCHIE VS PREDATOR #4 (OF 4) MAIN CVR",,"2.65",,,"DARK HORSE"
"482/0034","ARCHIE VS PREDATOR #4 (OF 4) HICKS VAR CVR",,"2.65",,,"DARK HORSE"
"482/0035","ARCHIE VS PREDATOR #4 QUINONES VAR CVR",,"9.99",,,"DARK HORSE"
"482/0036","GROO FRIENDS AND FOES #7",,"2.65",,,"DARK HORSE"
"482/0037","GROO FRIENDS AND FOES TP VOL 01  ","our price","7.97","reduced from","10.99","DARK HORSE"
"482/0038","AGE OF REPTILES ANCIENT EGYPTIANS #2 (OF 4)",,"2.65",,,"DARK HORSE"
"482/0039","USAGI YOJIMBO #147",,"2.35",,,"DARK HORSE"
"482/0040","LEGEND KORRA ART ANIMATED SERIES HC VOL 04","our price","18.84","reduced from","25.99","DARK HORSE"
"482/0041","LEGEND KORRA ART ANIMATED SERIES HC VOL 01 ",,"20.25",,,"DARK HORSE"
"482/0042","LEGEND KORRA ART ANIMATED SERIES HC VOL 02",,"20.25",,,"DARK HORSE"
"482/0043","LEGEND KORRA ART ANIMATED SERIES HC VOL 03 ",,"20.25",,,"DARK HORSE"
"482/0050","AVATAR LAST AIRBENDER VOL 10 SMOKE & SHADOW","our price","6.16","reduced from","8.50","DARK HORSE"
"482/0051","AVATAR LAST AIRBENDER TP VOL 01 PROMISE PART 1   ",,"6.99",,,"DARK HORSE"
"482/0052","AVATAR LAST AIRBENDER TP VOL 02 PROMISE PART 2   ",,"6.99",,,"DARK HORSE"
"482/0053","AVATAR LAST AIRBENDER TP VOL 03 PROMISE PART 3   ",,"6.99",,,"DARK HORSE"
"482/0054","AVATAR LAST AIRBENDER TP VOL 04 SEARCH PART 1   ",,"6.99",,,"DARK HORSE"
"482/0055","AVATAR LAST AIRBENDER TP VOL 05 SEARCH PART 2   ",,"6.99",,,"DARK HORSE"
"482/0056","AVATAR LAST AIRBENDER TP VOL 06 SEARCH PART 3   ",,"6.99",,,"DARK HORSE"
"482/0057","AVATAR LAST AIRBENDER TP VOL 07 RIFT PART 1   ",,"6.99",,,"DARK HORSE"
"482/0058","AVATAR LAST AIRBENDER TP VOL 08 RIFT PART 2   ",,"6.99",,,"DARK HORSE"
"482/0059","AVATAR LAST AIRBENDER TP VOL 09 RIFT PART 3   ",,"6.99",,,"DARK HORSE"
"482/0060","COURAGEOUS PRINCESS HC VOL 03 DRAGON QUEEN  ","our price","10.87","reduced from","14.99","DARK HORSE"
"482/0061","PLANTS VS ZOMBIES BULLY FOR YOU #2",,"1.99",,,"DARK HORSE"
"482/0062","HALO ESCALATION #20",,"2.65",,,"DARK HORSE"
"482/0063","HALO ESCALATION TP VOL 03  ","our price","10.87","reduced from","14.99","DARK HORSE"
"482/0064","TOMB RAIDER #18",,"2.65",,,"DARK HORSE"
"482/0065","WITCHER FOX CHILDREN #4 (OF 5)",,"2.65",,,"DARK HORSE"
"482/0066","ELFQUEST FINAL QUEST #10",,"2.35",,,"DARK HORSE"
"482/0067","FRANK FRAZETTA ADVENTURES OF SNOW MAN HC  ","our price","7.97","reduced from","10.99","DARK HORSE"
"482/0068","FRANK FRAZETTA DEATH DEALER PLAYING CARDS (O/A)  ",,"3.84",,,"DARK HORSE"
"482/0070","FRANK FRAZETTA WARRIOR COASTER SET (O/A)  ",,"7.67",,,"DARK HORSE"
"482/0071","CONAN THE AVENGER #16",,"2.35",,,"DARK HORSE"
"482/0072","CONAN HC VOL 18 DAMNED HORDE  ","our price","13.77","reduced from","18.99","DARK HORSE"
"482/0073","ALIENS SALVATION HC  ","our price","6.16","reduced from","8.50","DARK HORSE"
"482/0074","ALIENS OMNIBUS TP VOL 01 (CURR PTG) (O/A) ",,"15.25",,,"DARK HORSE"
"482/0075","ALIENS OMNIBUS TP VOL 02 (CURR PTG)  ",,"15.25",,,"DARK HORSE"
"482/0076","ALIENS OMNIBUS TP VOL 03 (CURR PTG)  ",,"15.25",,,"DARK HORSE"
"482/0077","ALIENS OMNIBUS TP VOL 04  ",,"15.25",,,"DARK HORSE"
"482/0078","ALIENS OMNIBUS TP VOL 05  ",,"15.25",,,"DARK HORSE"
"482/0079","ALIENS OMNIBUS TP VOL 06 (CURR PTG)  ",,"15.25",,,"DARK HORSE"
"482/0080","HELLBOY 100 PROJECT HC  ","our price","13.77","reduced from","18.99","DARK HORSE"
"482/0081","HELLBOY 100 PROJECT TP  ","our price","7.24","reduced from","9.99","DARK HORSE"
"482/0082","BPRD HELL ON EARTH #133",,"2.35",,,"DARK HORSE"
"482/0083","BPRD HELL ON EARTH TP VOL 11 FLESH AND STONE  ","our price","10.87","reduced from","14.99","DARK HORSE"
"482/0084","ABE SAPIEN #24",,"2.35",,,"DARK HORSE"
"482/0085","LOBSTER JOHNSON A CHAIN FORGED IN LIFE ONE SHOT",,"2.35",,,"DARK HORSE"
"482/0086","BALTIMORE CULT OF THE RED KING #3 (OF 5)",,"2.65",,,"DARK HORSE"
"482/0087","FRANKENSTEIN UNDERGROUND #5 (OF 5)",,"2.35",,,"DARK HORSE"
"482/0088","BTVS SEASON 10 #17 MAIN CVR",,"2.65",,,"DARK HORSE"
"482/0089","BTVS SEASON 10 #17 ISAACS VAR CVR",,"2.65",,,"DARK HORSE"
"482/0090","BTVS SEASON 10 TP VOL 03 LOVE DARES YOU  ","our price","10.14","reduced from","13.99","DARK HORSE"
"482/0091","ANGEL AND FAITH SEASON 10 #16 MAIN CVR",,"2.65",,,"DARK HORSE"
"482/0092","ANGEL AND FAITH SEASON 10 #16 NORTON VAR CVR",,"2.65",,,"DARK HORSE"
"482/0093","LADY KILLER TP  ","our price","9.79","reduced from","13.50","DARK HORSE"
"482/0094","PIXU MARK OF EVIL TP  ","our price","7.97","reduced from","10.99","DARK HORSE"
"482/0095","HARROW COUNTY #3",,"2.65",,,"DARK HORSE"
"482/0096","GRINDHOUSE DRIVE IN BLEED OUT #7",,"2.65",,,"DARK HORSE"
"482/0097","EERIE COMICS #7",,"2.65",,,"DARK HORSE"
"482/0098","CREEPY COMICS TP VOL 04 ","our price","10.87","reduced from","14.99","DARK HORSE"
"482/0099","DEATH HEAD #1 (OF 6)",,"2.65",,,"DARK HORSE"
"482/0100","HELLBOUND HC  ","our price","9.79","reduced from","13.50","DARK HORSE"
"482/0101","MIDNIGHT SOCIETY THE BLACK LAKE #2 (OF 4)",,"2.65",,,"DARK HORSE"
"482/0102","STRAIN NIGHT ETERNAL #11 ",,"2.65",,,"DARK HORSE"
"482/0103","CREEPY ARCHIVES HC VOL 22  ","our price","27.54","reduced from","37.99","DARK HORSE"
"482/0104","EC ARCHIVES TWO FISTED TALES HC  ","our price","27.54","reduced from","37.99","DARK HORSE"
"482/0105","ASTRO BOY OMNIBUS TP VOL 01  ","our price","10.87","reduced from","14.99","DARK HORSE"
"482/0106","NEW LONE WOLF AND CUB TP VOL 06   ","our price","7.61","reduced from","10.50","DARK HORSE"
"482/0107","OH MY GODDESS RTL TP 48  ",,"8.25",,,"DARK HORSE"
"482/0108","GAME OF THRONES FIGURE JORAH MORMONT  ",,"17.05",,,"DARK HORSE"
"482/0109","GAME OF THRONES FIGURE SANSA STARK  ",,"17.05",,,"DARK HORSE"
"482/0110","GAME OF THRONES IRON THRONE MINI REPLICA   ",,"42.65",,,"DARK HORSE"
"482/0111","GAME OF THRONES STATUE ARYA STARK   ",,"153.55",,,"DARK HORSE"
"482/0112","GAME OF THRONES STATUE TYRION   ",,"127.95",,,"DARK HORSE"
"482/0113","GAME OF THRONES STATUE BRIENNE OF TARTH (O/A)   ",,"166.35",,,"DARK HORSE"
"482/0114","GAME OF THRONES BUST HOUND (O/A)  ",,"115.20",,,"DARK HORSE"
"482/0115","GAME OF THRONES MAP MARKER STARK   ",,"17.05",,,"DARK HORSE"
"482/0116","GAME OF THRONES MAP MARKER LANNISTER   ",,"17.05",,,"DARK HORSE"
"482/0117","GAME OF THRONES DIRE WOLF BOOKENDS   ",,"59.70",,,"DARK HORSE"
"482/0118","GAME OF THRONES BUST WHITE WALKER   ",,"9.55",,,"DARK HORSE"
"482/0122","CYBORG #1",,"1.99",,,"DC UNIVERSE"
"482/0123","CYBORG #1 VAR 1-25 ED",,"9.99",,,"DC UNIVERSE"
"482/0124","JUSTICE LEAGUE OF AMERICA #2",,"2.65",,,"DC UNIVERSE"
"482/0125","JUSTICE LEAGUE OF AMERICA #2 TEEN TITANS GO VAR ",,"2.65",,,"DC UNIVERSE"
"482/0126","JUSTICE LEAGUE OF AMERICA #2 VAR 1-25 ED",,"9.99",,,"DC UNIVERSE"
"482/0127","JUSTICE LEAGUE #42",,"2.65",,,"DC UNIVERSE"
"482/0128","JUSTICE LEAGUE #42 TEEN TITANS GO VAR ED",,"2.65",,,"DC UNIVERSE"
"482/0129","JUSTICE LEAGUE UNITED #11",,"2.65",,,"DC UNIVERSE"
"482/0130","JLA GODS AND MONSTERS BATMAN #1",,"2.65",,,"DC UNIVERSE"
"482/0131","JLA GODS AND MONSTERS BATMAN #1 VAR 1-10 ED",,"3.99",,,"DC UNIVERSE"
"482/0132","JLA GODS AND MONSTERS SUPERMAN #1",,"2.65",,,"DC UNIVERSE"
"482/0133","JLA GODS AND MONSTERS SUPERMAN #1 VAR 1-10 ED",,"3.99",,,"DC UNIVERSE"
"482/0134","AQUAMAN #42",,"2.65",,,"DC UNIVERSE"
"482/0135","AQUAMAN #42 TEEN TITANS GO VAR ED",,"2.65",,,"DC UNIVERSE"
"482/0136","BLACK CANARY #2",,"1.99",,,"DC UNIVERSE"
"482/0137","BLACK CANARY #2 VAR 1-25 ED",,"9.99",,,"DC UNIVERSE"
"482/0138","CONSTANTINE THE HELLBLAZER #2",,"1.99",,,"DC UNIVERSE"
"482/0139","CONSTANTINE THE HELLBLAZER #2 VAR 1-25 ED",,"9.99",,,"DC UNIVERSE"
"482/0140","DEATHSTROKE #8",,"1.99",,,"DC UNIVERSE"
"482/0141","DEATHSTROKE #8 TEEN TITANS GO VAR ED",,"1.99",,,"DC UNIVERSE"
"482/0142","DEATHSTROKE ANNUAL #1",,"3.33",,,"DC UNIVERSE"
"482/0143","DR FATE #2",,"1.99",,,"DC UNIVERSE"
"482/0144","DR FATE #2 VAR 1-25 ED",,"9.99",,,"DC UNIVERSE"
"482/0145","EARTH 2 SOCIETY #2",,"1.99",,,"DC UNIVERSE"
"482/0146","EARTH 2 SOCIETY #2 VAR 1-25 ED",,"9.99",,,"DC UNIVERSE"
"482/0147","FLASH #42",,"2.65",,,"DC UNIVERSE"
"482/0148","FLASH #42 TEEN TITANS GO VAR ED",,"2.65",,,"DC UNIVERSE"
"482/0149","FLASH ANNUAL #4",,"3.33",,,"DC UNIVERSE"
"482/0150","FLASH SEASON ZERO #10",,"1.99",,,"DC UNIVERSE"
"482/0151","GREEN ARROW #42",,"1.99",,,"DC UNIVERSE"
"482/0152","GREEN ARROW #42 TEEN TITANS GO VAR ED",,"1.99",,,"DC UNIVERSE"
"482/0153","ARROW SEASON 2.5 #10",,"1.99",,,"DC UNIVERSE"
"482/0154","INJUSTICE GODS AMONG US YEAR FOUR #5",,"1.99",,,"DC UNIVERSE"
